Incident_ID,Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
AUD-226,C226,"Yeah, this is emergency. I'm a cab driver this guy. He say...",Emergency Report,Unknown Location,Calm,0.4
AUD-227,C227,I'm going to see. Dance away! What happened to me? I don't know. I'm in the way. It's please.,Emergency Report,Unknown Location,Calm,0.4
AUD-228,C228,Help me help me quick. I'm the only one who can be on the court. I know.,Emergency Report,Unknown Location,Calm,0.4
AUD-229,C229,When emergency,Emergency Report,Unknown Location,Calm,0.4
AUD-230,C230,"And there's a fire on the cemetery, a bridge into one of the gates. And on the cemetery.",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-231,C231,"Yes ma'am, I'm on second avenue in the school and the gentleman said tell them to hold down the police office are coming to here",Emergency Report,Unknown Location,Calm,0.4
AUD-232,C232,He's in the house.,Emergency Report,Unknown Location,Calm,0.4
AUD-233,C233,"Yes, our ammunition is help. I'm trapped in the back side of this force bar.",Emergency Report,Unknown Location,Calm,0.4
AUD-234,C234,I'm watching Mike Donnell's up here. And I order like seven birds.,Emergency Report,Unknown Location,Calm,0.4
AUD-235,C235,"Oh my God, so many students at the Sheriff Department. At the Sheriff Department? Yes, so building place.",Emergency Report,The Sheriff Department,Calm,0.4
AUD-236,C236,"Yes, I didn't tacked by a man in the woods while I was hunting. Please send the police to my location.",Emergency Report,Unknown Location,Calm,0.4
AUD-237,C237,"On the boat, it ends up Radio lighting and electric supply building Radio lighting and the",Emergency Report,Radio,Calm,0.4
AUD-238,C238,"Yes, this is Shにゃすぎ! Shにゃすぎ! How about all these?",Emergency Report,Unknown Location,Calm,0.4
AUD-239,C239,"Now, here seems to be a bad fight next story.",Emergency Report,Unknown Location,Calm,0.4
AUD-240,C240,"I don't think so now and we all been followed. You need to hurry, we can only...",Emergency Report,Unknown Location,Calm,0.4
AUD-241,C241,"I think some people are shooting. Okay, and SSF. Okay.",Emergency Report,Ssf,Calm,0.4
AUD-242,C242,I'm about to kill people. You're about to kill people? Yes. I had a deadly weapon in my...,Emergency Report,Unknown Location,Calm,0.4
AUD-243,C243,Hello. Hello? Hello.,Emergency Report,Unknown Location,Calm,0.4
AUD-244,C244,"The station is on sunset, Larby, please come here. Okay, calm down a little bit, okay, what's he at?",Emergency Report,Larby,Calm,0.4
AUD-245,C245,"Um, my friend, who's my birthday gift, who I got to know.",Emergency Report,Unknown Location,Calm,0.4
AUD-246,C246,"I'm working for the head. I'm calling my son. I'm just getting asked. What's your address, ma'am? What's your address? What's your address?",Emergency Report,Unknown Location,Calm,0.4
AUD-247,C247,"Oh, I'm just very upset. And I'm...",Emergency Report,Unknown Location,Calm,0.4
AUD-248,C248,But guess what the fox has broke out and the lady come running out of the man from man is in there Tuding everyone,Emergency Report,Fox,Calm,0.4
AUD-249,C249,"Okay, I'm at Wild Cash even. We've had a lot of our keepers.",Emergency Report,Unknown Location,Calm,0.4
AUD-250,C250,This is my goodest five or five each financial. I got the people in my yard and their dogs are my...,Emergency Report,Unknown Location,Calm,0.4
AUD-251,C251,"I've been called over to my father in law to have, because he got off the phone with my mother in law and he's been flexing up and stuff.",Emergency Report,Unknown Location,Calm,0.4
AUD-252,C252,There was this time I go and what a road is this? Red arrow going down.,Emergency Report,Unknown Location,Calm,0.4
AUD-253,C253,"My girlfriend is right and I think she's dead. I need someone here now. Okay, she breathing.",Emergency Report,Unknown Location,Calm,0.4
AUD-254,C254,I'm sorry. Any hoax school. I think there's somebody shooting in here. Sandy hoax school. Okay. What makes you a,Emergency Report,Unknown Location,Calm,0.4
AUD-255,C255,"emergency. Say you look at elementary school, 12 dickies and drugs. Okay, I've got that. What's going on down there?",Emergency Report,Unknown Location,Calm,0.4
AUD-256,C256,I can still draw. It sounds like they're contacting the hallway. I'm a teacher in the school. Okay. Where are you in the school?,Emergency Report,Unknown Location,Calm,0.4
AUD-257,C257,"Yes, my husband's on the front there's a car here within a soul rifle shooting it's police and aiming at our house",Traffic Accident,Unknown Location,Calm,0.4
AUD-258,C258,"emergency. Oh, please hurry. This is one nine. Wind him court. We",Emergency Report,Unknown Location,Calm,0.4
AUD-259,C259,"by the door. If anybody comes down here I'm shooting. Okay, don't, we don't want to shoot anyone else, okay? So, what's all this?",Emergency Report,Unknown Location,Calm,0.4
AUD-260,C260,there. We got a we got a student athlete who was on the court moaning.,Emergency Report,Unknown Location,Calm,0.4
AUD-261,C261,"I have a nine week old infant and he just stopped breathing. Damn, I'm a white-up man. Okay.",Emergency Report,Unknown Location,Calm,0.4
AUD-262,C262,"We believe that there is a schooner. We have heard at least two shots. Okay, what is the next?",Emergency Report,Unknown Location,Calm,0.4
AUD-263,C263,I went to the shoes of the old path and I went there I didn't know until the weather got sour amendment. This letter was fine. I was born in 2012. It was actually a year ago. I didn't know about it.,Emergency Report,Unknown Location,Calm,0.4
AUD-264,C264,gunshot went to the chest. Number B.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-265,C265,Can you hold for just a second? I just saw somebody running to the Comfort Bank on Thomas in 2020.,Crime/Assault,The Comfort Bank On Thomas,Distressed,0.85
AUD-266,C266,Cities,Emergency Report,Unknown Location,Calm,0.4
AUD-267,C267,"the railroad tracks, we've got to train that to D rail the National Fire.",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-268,C268,He got sand. He goes through the pit dug. More of thesurprise.,Emergency Report,Unknown Location,Calm,0.4
AUD-269,C269,emergency.,Emergency Report,Unknown Location,Calm,0.4
AUD-270,C270,"I just had a lottery to steal a beer at all. All right, hold on, first share our stuff. Let's go. All right, hold on.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-271,C271,"So there's been a gunshot at the cop theater, movie theater, cop, and what's the chapel gunshot, to the chat.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-272,C272,I'm gonna come in with your name. What is your name?,Emergency Report,Unknown Location,Calm,0.4
AUD-273,C273,"the crazy. He's been stabbed really bad. Okay, let's be breathing ma'am.",Emergency Report,Unknown Location,Calm,0.4
AUD-274,C274,"Watch out and upload. You're lame, don't believe that. My god poetic face looks nothing. My household head! Don't lie to me. Don't lie to me. Don't lie to me. Don't lie to me. So tell the man. It's me. Let go of him. Let go. So I'm lying to you. I want to see that brand.去香港最多的地方. You are the lowest damn Shark Rider in Israel.die and get through this your best. Leave the Está Meal.",Emergency Report,Israel.Die,Calm,0.4
AUD-275,C275,"My daughter is choking on a bouncy ball. Okay, and you're at 25, 25 North 10th Street? Yes, is she?",Emergency Report,Unknown Location,Calm,0.4
AUD-276,C276,"Well, am I 41 going south and I'm going to do a cross street right now?",Emergency Report,Unknown Location,Calm,0.4
AUD-277,C277,emergency i'll have insert,Emergency Report,Unknown Location,Calm,0.4
AUD-278,C278,Pardon me NY cognition Where's the fire at ?연 MY pistula,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-279,C279,payback police chief uh... with having a vehicle pulled across the street in the residence come on jottis,Emergency Report,Unknown Location,Calm,0.4
AUD-280,C280,I've been taken out of my house at gunpoint. I'm going to head to the police station.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-281,C281,And my neighbor just knocked on my door. And I heard this mission. We went down to where the mail box is.,Emergency Report,Unknown Location,Calm,0.4
AUD-282,C282,المكان لك لنا ذهب في الطمان المفياهو toman هذا pink,Emergency Report,Unknown Location,Calm,0.4
AUD-283,C283,on. Land is on the ground. I didn't go and check you. A male is on the ground? Yes.,Emergency Report,Unknown Location,Calm,0.4
AUD-284,C284,"Yes, I live at the 9301 South Secretary of State, Harvard A. I got a gentle",Emergency Report,State,Calm,0.4
AUD-285,C285,"This is Caliola, the transfer at your Beth Western. I'm a 1-14, someone has been shot in the neck. They're going to need medical assistance.",Emergency Report,Caliola,Calm,0.4
AUD-286,C286,We're missing a child. Three years old. You're missing a three year old.,Emergency Report,Unknown Location,Calm,0.4
AUD-287,C287,"What exactly what happened? My wife's pregnant and she says she made the hospital, she says she can't read them.",Emergency Report,Unknown Location,Calm,0.4
AUD-288,C288,"I am on half road, I am in water, and it's taken me away. Hey man, we're on the...",Emergency Report,Unknown Location,Calm,0.4
AUD-289,C289,"OK, 134 right.",Emergency Report,Unknown Location,Calm,0.4
AUD-290,C290,"My walk up up up a little. Okay, let's go up the bottle with a carrot there. You've got movie. There.",Traffic Accident,Unknown Location,Calm,0.4
AUD-291,C291,"I got a collar on the line, she's got to be quiet, somebody just broken door house, 436, Lowell Street.",Emergency Report,Lowell Street,Calm,0.4
AUD-292,C292,"I'm having one of my moments in shot. Okay, so it's medical. Is it medical, son?",Emergency Report,Unknown Location,Calm,0.4
AUD-293,C293,I've got a woman in my bank pointing a rifle at all of us and all of our customers. I need police now.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-294,C294,"We walked contact with two carriers, with the carrier and somebody else.",Traffic Accident,Unknown Location,Calm,0.4
AUD-295,C295,"Where's your emergency? I need an ambulance to let on one colony. Okay, what's going on? What's going on? Okay.",Emergency Report,Unknown Location,Calm,0.4
AUD-296,C296,We need an ambulance. We're going on. My mom keeps...,Emergency Report,Unknown Location,Calm,0.4
AUD-297,C297,"Okay, what the problem on wrong and office? Something's what? You know, something wrong and office, I believe. What do you mean something?",Crime/Assault,Unknown Location,Distressed,0.85
AUD-298,C298,Are little boys not breathing? Is he breathing now? No he's not.,Emergency Report,Unknown Location,Calm,0.4
AUD-299,C299,"Yeah, I saw somebody up on 10th Street on the airport. Okay, you did.",Emergency Report,10Th Street,Calm,0.4
AUD-300,C300,"Um, my mother fed down. Okay, your mama fell down? Yeah. Okay, where are you at?",Emergency Report,Unknown Location,Calm,0.4
AUD-301,C301,"My kids have been in this for three o'clock today, my seven-year-old and my three-year-old.",Emergency Report,Unknown Location,Calm,0.4
AUD-302,C302,I have been missing since 7 o'clock this morning and,Emergency Report,Unknown Location,Calm,0.4
AUD-303,C303,I have someone here that I need to be arrested in my home.,Emergency Report,Unknown Location,Calm,0.4
AUD-304,C304,Hello. Hello. Hello. Hello. Hello. Hello.,Emergency Report,Unknown Location,Calm,0.4
AUD-305,C305,"Hi, I'm speaking to my boyfriend and he was entering his home and I heard loud screaming and now this dead",Emergency Report,Unknown Location,Calm,0.4
AUD-306,C306,fires guicon electrical,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-307,C307,"I can't bite my wife, so I'll feed her the bathtub and I think she gets. I'll let you, I'll see how it goes.",Emergency Report,Unknown Location,Calm,0.4
AUD-308,C308,We have a bare molley. I am out on the trail. I just wanted to take this time.,Emergency Report,Unknown Location,Calm,0.4
AUD-309,C309,"No, I should go to my room. I need a policeman. And ambulance in my house. Make my way out. Man. Yo, listen.",Emergency Report,Unknown Location,Calm,0.4
AUD-310,C310,This is an emergency run hike. I'm going to make my walk or hike in my kitchen in the smokey.,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-311,C311,"North Austin, the ? look like we Jisk Herよう",Emergency Report,Unknown Location,Calm,0.4
AUD-312,C312,2313 what? 2313 cabrits. 2313 cabrits. Yes.,Emergency Report,Unknown Location,Calm,0.4
AUD-313,C313,I'm sorry I've got to admit.,Emergency Report,Unknown Location,Calm,0.4
AUD-314,C314,"Yes, well I walked in my car and you're like in your car out of your car. Yes, in my car.",Traffic Accident,Unknown Location,Calm,0.4
AUD-315,C315,"You look like you need it, come slow. You just need a towel to come over here.",Emergency Report,Unknown Location,Calm,0.4
AUD-316,C316,"A child who has been left on my doorstep. Okay, what's your address?",Emergency Report,Unknown Location,Calm,0.4
AUD-317,C317,On jokes with my dog.,Emergency Report,Unknown Location,Calm,0.4
AUD-318,C318,Bangas tragedy is our thaq so it's Knoja boaoit foot,Emergency Report,Unknown Location,Calm,0.4
AUD-319,C319,Exactly what happened. There was two trains just collided outside of our metro link.,Emergency Report,Unknown Location,Calm,0.4
AUD-320,C320,"Yes, ma'am. My name is Special Agent Richard A Smith. That's number zero time.",Emergency Report,Unknown Location,Calm,0.4
AUD-321,C321,"We'll be in the office, I'll guide you by 9. Please try. We're all bleeding.",Emergency Report,Unknown Location,Calm,0.4
AUD-322,C322,"Hello, it's the state police and the gentleman's girlfriend is having a baby right now. Okay, sir.",Emergency Report,Unknown Location,Calm,0.4
AUD-323,C323,I don't know if I'll make it. I'm trying to...,Emergency Report,Unknown Location,Calm,0.4
AUD-324,C324,"My boyfriend is outside, he has been stabbed. Okay. And he's...",Emergency Report,Unknown Location,Calm,0.4
AUD-325,C325,I'm the guy that's in pretty big trouble right now. You're in pretty big trouble? What's your name?,Emergency Report,Unknown Location,Calm,0.4
AUD-326,C326,"Yes, I think everybody's clicking into my house. Please. Okay, stay on the phone. I mean, why did you think someone's trying to break a...",Emergency Report,Unknown Location,Calm,0.4
AUD-327,C327,The nightgum is a bad little bird. We can't walk further. We have streamlined... Drunnormy Drunnormy,Emergency Report,Unknown Location,Calm,0.4
AUD-328,C328,I think my son's been killed. We're at. We're in the Evergreen...,Emergency Report,Evergreen,Calm,0.4
AUD-329,C329,The update has already been released. I think he's going to try to kill himself. I need an A.,Emergency Report,Unknown Location,Calm,0.4
AUD-330,C330,"Well, as said, emergency, you know why on one lane, on one side at the damn drawbridge, on 95...",Emergency Report,Unknown Location,Calm,0.4
AUD-331,C331,Come on. What? More now! There's nothing to talk about!,Emergency Report,Unknown Location,Calm,0.4
AUD-332,C332,"What are you into doing? The FAA agents that look like you're giving a heart attack or stroke or something, just",Emergency Report,Faa,Calm,0.4
AUD-333,C333,"Well, I just got a phone call saying that my friend, she was in the basement apartment of that house and apparently the",Emergency Report,Unknown Location,Calm,0.4
AUD-334,C334,There's a fire right here off the Broadway. Broadway and poetry.,Fire/Structure Incident,Broadway,Distressed,0.85
AUD-335,C335,I'm here. We just came into my sister's house and she's on the floor. Try the girl to mesh.,Emergency Report,Unknown Location,Calm,0.4
AUD-336,C336,My girlfriend left last night. We were at the Stevens-Ball and St. Nicholas.,Emergency Report,The Stevens-Ball,Calm,0.4
AUD-337,C337,"My cat, a cat, is a seven-month-old child. And I...",Emergency Report,Unknown Location,Calm,0.4
AUD-338,C338,and my friend was drinking and she woke me up and she's sick and now she's not responding.,Emergency Report,Unknown Location,Calm,0.4
AUD-339,C339,and it's a fire at somebody else called the stadium. You're on the ground. The avenue is at their avenue.,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-340,C340,We need format.,Emergency Report,Unknown Location,Calm,0.4
AUD-341,C341,And you said somebody just left. Someone had finally heard the little voice like of the,Emergency Report,Unknown Location,Calm,0.4
AUD-342,C342,میری دریاد کارتے ہو دریہ میری ریور کی کار کار میری ریورتے ہو دریگا بھائی آجا,Emergency Report,بھائی,Calm,0.4
AUD-343,C343,Somebody got shot at? Somebody got shot at? Yeah.,Emergency Report,Unknown Location,Calm,0.4
AUD-344,C344,"Okay, what's the address?",Emergency Report,Unknown Location,Calm,0.4
AUD-345,C345,"emergency. Yeah, this is it from I had a little girl that fell on the ball and",Emergency Report,Unknown Location,Calm,0.4
AUD-346,C346,"The bedroom is on fire. I have to go fast. Okay, we're on the way.",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-347,C347,"How you doing? I'd like to report like to a double murder in Cambridge, on it. Okay, do you know the answer? I know. You are.",Emergency Report,Cambridge,Calm,0.4
AUD-348,C348,"165 Airborne Road, I've been shot on 1675 Airport Road.",Emergency Report,Airborne Road,Calm,0.4
AUD-349,C349,"Отвар cubed, weeks integrateeras.",Emergency Report,Unknown Location,Calm,0.4
AUD-350,C350,I need some help. What's going on?,Emergency Report,Unknown Location,Calm,0.4
AUD-351,C351,Conjects if there's a fire. Give the fire at what address man?,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-352,C352,"Hi, something just exploded at the end of Sayat. Okay, is there any...",Emergency Report,Sayat,Calm,0.4
AUD-353,C353,I think someone is trying to break into my home. Just stop at 56.,Emergency Report,Unknown Location,Calm,0.4
AUD-354,C354,on a date to meet my help,Emergency Report,Unknown Location,Calm,0.4
AUD-355,C355,"I'll say what's going on, he said I want to help Brown. He's on Brown, she's in the floor now. Okay, may I...",Emergency Report,Unknown Location,Calm,0.4
AUD-356,C356,I just shot my mother in my... You shot your mother?,Emergency Report,Unknown Location,Calm,0.4
AUD-357,C357,I just witnessed a shooting on third Avenue in Nickers. Third in Nickers and how many minutes.,Emergency Report,Third Avenue,Calm,0.4
AUD-358,C358,I'm not so lucky to hear it now. We just got stuck by lightning. And my boyfriend is gonna do it.,Emergency Report,Unknown Location,Calm,0.4
AUD-359,C359,We have an aircraft declaring an emergency is going to land on the beach at Venice. Close to the airport. I'm not sure it got...,Emergency Report,Venice,Calm,0.4
AUD-360,C360,"No, I think someone's in. David, you hear the front door? I'm hearing no lights, the door's.",Emergency Report,Unknown Location,Calm,0.4
AUD-361,C361,we heard looked in the garage door was up and i thought the gentleman was backing up and went back,Emergency Report,Unknown Location,Calm,0.4
AUD-362,C362,We've been beating. It's the family daughter. I'm bleeding.,Emergency Report,Unknown Location,Calm,0.4
AUD-363,C363,I have a gun range officer that got shot in the head. We're at a... Samture's point.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-364,C364,"I need 10 minutes right now for you. Okay, let's be a drag.",Emergency Report,Unknown Location,Calm,0.4
AUD-365,C365,We go up to this lady she laying in the road. I think she would get by a car. Okay. I got ahead injury. Oh,Traffic Accident,Unknown Location,Calm,0.4
AUD-366,C366,"I'm going to ruin the way I'm at. But my line looks like this guy robbed and he got shot. Okay, fun.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-367,C367,She cut me who cut you there's no no hold on,Emergency Report,Unknown Location,Calm,0.4
AUD-368,C368,Please have me try to get my house. What are they doing? They tied my fund door and my schedule are now.,Emergency Report,Unknown Location,Calm,0.4
AUD-369,C369,"There's been a shooting, I just shot a man attack. We'll make a stop. OK, sir. If he enters.",Emergency Report,Unknown Location,Calm,0.4
AUD-370,C370,"I love me, I just love you more. Are you at a house? For a house?",Emergency Report,Unknown Location,Calm,0.4
AUD-371,C371,"Yes, man, I just shot my doider and shot all my grandkids.",Emergency Report,Unknown Location,Calm,0.4
AUD-372,C372,Because I'm not my way to work on North Sound on Redwood Road.,Emergency Report,North Sound,Calm,0.4
AUD-373,C373,"¡Ahhh! ¡Esto es eso! ¡Ay, un buen! ¡Cuál es la emergencia!",Emergency Report,Unknown Location,Calm,0.4
AUD-374,C374,I got arrived from 21 to what's he's so cold? My 35 travels.,Emergency Report,Unknown Location,Calm,0.4
AUD-375,C375,"And there was a guy and there was a pistol and I was falling fake, but he's like pointed at everybody.",Emergency Report,Unknown Location,Calm,0.4
AUD-376,C376,"I'll shut my husband and shut me, so we'll shut to me. Okay, hold on for me. Okay.",Emergency Report,Unknown Location,Calm,0.4
AUD-377,C377,"I'm sorry, there's a situation here. We have residents that I think they stole a car.",Traffic Accident,Unknown Location,Calm,0.4
AUD-378,C378,I'm in a glory in a race where it's where I go away.,Emergency Report,Unknown Location,Calm,0.4
AUD-379,C379,I think it's murder. What makes you think that? Because...,Emergency Report,Unknown Location,Calm,0.4
AUD-380,C380,"Um, I don't know if my husband had eyes rolling back. He's just not breathing.",Emergency Report,Unknown Location,Calm,0.4
AUD-381,C381,I'm out here right now and I lost my keys in my car. Is there any way that someone can come out here?,Traffic Accident,Unknown Location,Calm,0.4
AUD-382,C382,It's not an emergency. The only way I know how to get in touch with this woman is,Emergency Report,Unknown Location,Calm,0.4
AUD-383,C383,What's going on there? Let's see what's going on there.,Emergency Report,Unknown Location,Calm,0.4
AUD-384,C384,"Now, one, one, where's your emergency?",Emergency Report,Unknown Location,Calm,0.4
AUD-385,C385,"Same. I hear you, br-",Emergency Report,Unknown Location,Calm,0.4
AUD-386,C386,"I'm sorry, but the fireworks bill on. I'm sorry, you cannot call 911 for that.",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-387,C387,I just received a call a few minutes ago from one of our VPs who states that he's up.,Emergency Report,Unknown Location,Calm,0.4
AUD-388,C388,If the Digman hit the park at 31st Avenue in Valmont.,Emergency Report,31St Avenue,Calm,0.4
AUD-389,C389,Yes! No! No. Damn! Damn!,Emergency Report,Unknown Location,Calm,0.4
AUD-390,C390,There has been four gunshots. Close to the second. And it is in the middle.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-391,C391,I cut my wife so sweet in the bathtub and I think she's dead. I want you with the anger.,Emergency Report,Unknown Location,Calm,0.4
AUD-392,C392,"We just found the body of a baby, my grandson.",Emergency Report,Unknown Location,Calm,0.4
AUD-393,C393,I would have brought behind him and his brother along with me and I called down there because I was feeling this.,Emergency Report,Unknown Location,Calm,0.4
AUD-394,C394,This is our scouting utility emergency dispatch. We found a human skull. Oh my gosh.,Emergency Report,Unknown Location,Calm,0.4
AUD-395,C395,I need a police to come to my,Emergency Report,Unknown Location,Calm,0.4
AUD-396,C396,"Yes, no, I want to report a drug overdose.",Emergency Report,Unknown Location,Calm,0.4
AUD-397,C397,"Hello? Hello, my dad and my uncle just got shot. Okay. Oh my god, I don't like that. Two people shot at this time.",Emergency Report,Unknown Location,Calm,0.4
AUD-398,C398,on the side of the guide. And you can tell my little foot in there now. OK. Can you tell us?,Emergency Report,Unknown Location,Calm,0.4
AUD-399,C399,"My brother, he was playing like with his gun.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-400,C400,My brother is counting. Where are you at? I'm at the...,Emergency Report,Unknown Location,Calm,0.4
AUD-401,C401,"My guy, my girlfriend is yesterday. Calm down, sir. Is she still breathing?",Emergency Report,Unknown Location,Calm,0.4
AUD-402,C402,"We have a gunshot wound accidental in the household. Okay, how old?",Crime/Assault,Unknown Location,Distressed,0.85
AUD-403,C403,"Somebody just, somebody just take him in my house. What did he hit her in the head with? I have not. I don't want-",Emergency Report,Unknown Location,Calm,0.4
AUD-404,C404,There's a cleaning out of Rockville Road at 9.6.9.,Emergency Report,Rockville Road,Calm,0.4
AUD-405,C405,"I don't know what this kid has done, and she's like going into a theater or something. And I don't know. Now just keep on...",Emergency Report,Unknown Location,Calm,0.4
AUD-406,C406,"I got my gun out. There's somebody trying to get in my house. Okay, alright, let's go.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-407,C407,"emergency. 5-001, there's man, we'll be done. 5-001.",Emergency Report,Unknown Location,Calm,0.4
AUD-408,C408,I can't hear you scream and I can't...,Emergency Report,Unknown Location,Calm,0.4
AUD-409,C409,"We're having a baby or in Boulder Creek. We need to get the shutter. Okay, what's the problem? Some exact what happened.",Crime/Assault,Boulder Creek,Distressed,0.85
AUD-410,C410,Where's your emergency? I'll get a fire. Super-agore is following twig. Hold on just a second. Slow down. What's the address?,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-411,C411,"I just came home, the door was busted in and my girlfriend's been shot.",Emergency Report,Unknown Location,Calm,0.4
AUD-412,C412,"It just crashed into the Hudson River, a US Air.",Traffic Accident,The Hudson River,Calm,0.4
AUD-413,C413,he just,Emergency Report,Unknown Location,Calm,0.4
AUD-414,C414,"I've got a burglar. A burglar. Yes, ma'am. In the burglar.",Emergency Report,Unknown Location,Calm,0.4
AUD-415,C415,The baby's not playing me on this. It's a damn baby highlands avenue. 12 baby highlands highlands.,Emergency Report,Unknown Location,Calm,0.4
AUD-416,C416,Can I help you? Certainly. A couple of people who have picked over in the Great Salt Lake have got them on the line.,Emergency Report,The Great Salt Lake,Calm,0.4
AUD-417,C417,"No, I'm lonely. I'm lonely. Just broken into a house where I'm lonely. Please help us. That's what my life is in half now.",Emergency Report,Unknown Location,Calm,0.4
AUD-418,C418,My mouth is in the bathroom and in the tea cup.,Emergency Report,Unknown Location,Calm,0.4
AUD-419,C419,"I'm coming here to buy something. I've listened to this. When I get there, I'm in the window.",Emergency Report,Unknown Location,Calm,0.4
AUD-420,C420,"Yeah, I was trying to find out if I knew to bring like any chick stoops or a",Emergency Report,Unknown Location,Calm,0.4
AUD-421,C421,"I see some activity going on in the car and I don't think it's proper. Okay, what kind of activity is it, sir? It looks like...",Traffic Accident,Unknown Location,Calm,0.4
AUD-422,C422,This is emergency 911 emergency. 340 soil.,Emergency Report,Unknown Location,Calm,0.4
AUD-423,C423,You said we dropped your store apart. Someone what? We just dropped your store apart.,Emergency Report,Unknown Location,Calm,0.4
AUD-424,C424,floor. You'll be on the floor. She'll be on the floor. Okay. I'm going to tell you how to help deliver the baby. Okay.,Emergency Report,Unknown Location,Calm,0.4
AUD-425,C425,What's the problem? What's the problem there?,Crime/Assault,Unknown Location,Distressed,0.85
AUD-426,C426,It does crash. What? A plane crashed on 17th and Lincoln in houses.,Traffic Accident,Lincoln,Calm,0.4
AUD-427,C427,like gunshots being fired. Okay. I don't know where they're coming from. It was two days.,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-428,C428,"My girlfriend, she has a sex boyfriend and she's been talking to hell out of her. Okay, just talking out there.",Emergency Report,Unknown Location,Calm,0.4
AUD-429,C429,We just got a cry that somebody had shot somebody in a health diagnosis.,Emergency Report,Unknown Location,Calm,0.4
AUD-430,C430,"We've missed all the kidnaps in the night. Thank you, thank you. Who is kidnapped?",Emergency Report,Unknown Location,Calm,0.4
AUD-431,C431,"of gentlemen in the center room, and the instrument, you change the room. A bank of pot fell out of this room.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-432,C432,"If I have been to the same thing, I will be open to the 14th, 2000, definitely a gas at a time zero.",Emergency Report,Unknown Location,Calm,0.4
AUD-433,C433,"The man lying on the highway. He's lying down at the edge of the earth, but on his arm.",Traffic Accident,Unknown Location,Calm,0.4
AUD-434,C434,"I want to talk, I want to talk, into my mouth, into my heart, my heart, my heart.",Emergency Report,Unknown Location,Calm,0.4
AUD-435,C435,I am. My uncle's job is to put a knee snack in his girlfriend's back and I am picked here. What? I am picked.,Emergency Report,Unknown Location,Calm,0.4
AUD-436,C436,I ordered a Pinchy Chicken Leget with a small bite as...,Emergency Report,Unknown Location,Calm,0.4
AUD-437,C437,"Somebody just, somebody just, and I'm gonna send a call to the police. I'm gonna be there's all on each day. Somebody just,",Emergency Report,Unknown Location,Calm,0.4
AUD-438,C438,"Help me. Okay, what's up, honey? My son isn't at least. I'm doing crazy.",Emergency Report,Unknown Location,Calm,0.4
AUD-439,C439,but he- Dep aer Спасибо Give me some Well Good Good Neat Good Good,Emergency Report,Dep Aer Спасибо Give,Calm,0.4
AUD-440,C440,Brian Chessens at 7-1-Bot-Glorm Circle and he is wrestling us to get in my house.,Emergency Report,Unknown Location,Calm,0.4
AUD-441,C441,"Yeah, I think it's least like that on my head. Yeah, man. We just got we just call it to boys breaking in our call",Emergency Report,Unknown Location,Calm,0.4
AUD-442,C442,Somebody walk into our house last night. I don't know.,Emergency Report,Unknown Location,Calm,0.4
AUD-443,C443,My ass bloopers is staring at the hell out of me It's stopping in my head and my neck and my...,Emergency Report,Unknown Location,Calm,0.4
AUD-444,C444,"My partner's on fire, he can't. Err! Okay, stay on the line with me, don't hang out. No, please!",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-445,C445,I don't want Marge and Martin to stay. Help! It's a guy's coming! I can take him and go!,Emergency Report,Martin,Calm,0.4
AUD-446,C446,"I think he had a parachute on him, a guy parachute.",Emergency Report,Unknown Location,Calm,0.4
AUD-447,C447,"What's the problem there? There's a fire on pregnant. There's a fire at home? Yes, please come. OK, get outside.",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-448,C448,Why would the pan cut me? I need assistance right away. What happened? My wife has now,Emergency Report,Unknown Location,Calm,0.4
AUD-449,C449,I have a concern for a co-worker. She just called me and sounded very...,Emergency Report,Unknown Location,Calm,0.4
AUD-450,C450,"A white female passenger pass out on one of our vehicles, which is 21-22.",Emergency Report,Unknown Location,Calm,0.4
AUD-451,C451,"Hello, um, he's going down to the black way with my baby. Okay, where are you?",Emergency Report,Unknown Location,Calm,0.4
